"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EZE00100082","1785","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","142.2","","142.2","E","","","","","4","E","118","E","61","E","77","E","0","E","-25.2","E,0228,","","","30.9","E,0805,+","-0.9","E,1029","-3.1","E,1115","-5.8","E,1119","-6.9","E,1224","-9.2","E,1230","-1.2","E,0408","-3.0","E,0406","-7.0","E,0402","-7.0","E,0402","-10.4","E,0330","3935.3","","3935.3","E","","","7.77","E","11.19","E","4.34","E"
"EZE00100082","1786","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","30.9","","30.9","E","","","","","3","E","111","E","53","E","36","E","0","E","-21.1","E,0107,","","","26.5","E,0621,","-2.8","E,1025","-2.8","E,1025","-5.3","E,1029","-6.7","E,1108","-10.8","E,1112","-0.9","E,0411","-2.5","E,0315","-7.1","E,0312","-7.1","E,0312","-9.5","E,0310","3534.7","","3534.7","E","","","7.36","E","10.47","E","4.25","E"
"EZE00100082","1787","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","235.0","","235.0","E","","","","","0","E","72","E","30","E","92","E","1","E","-10.8","E,0115,","","","32.2","E,0628,","-0.6","E,1121","-3.5","E,1126","-6.4","E,1127","","","","","-1.1","E,0421","-3.5","E,0323","-6.7","E,0226","-6.7","E,0226","-10.5","E,0116","4008.8","","4008.8","E","","","10.04","E","13.01","E","7.07","E"
"EZE00100082","1788","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","261.2","","261.2","E","","","","","6","E","82","E","45","E","95","E","2","E","-23.8","E,1217,","","","33.4","E,0724,","-0.6","E,1117","-3.6","E,1124","-6.2","E,1125","-7.2","E,1126","-10.0","E,1201","-0.3","E,0318","-2.3","E,0316","-7.9","E,0220","-7.9","E,0220","","","2944.4","","2944.4","E","","","9.47","E","12.51","E","6.44","E"
"EZE00100082","1789","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","223.1","","223.1","E","","","","","7","E","70","E","23","E","105","E","0","E","-27.2","E,0105,","","","31.7","E,0713,","-1.3","E,1124","-5.2","E,1126","-5.2","E,1126","","","","","-0.2","E,0401","-3.2","E,0331","-8.8","E,0313","-8.8","E,0313","-10.9","E,0312","3705.6","","3705.6","E","","","10.16","E","13.23","E","7.08","E"
"EZE00100082","1790","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","151.6","","151.6","E","","","","","0","E","49","E","8","E","75","E","1","E","-6.2","E,0127,","","","32.2","E,0623,","0.0","E,1024","-3.0","E,1117","-5.5","E,1230","","","","","-0.4","E,0421","-2.2","E,0407","-4.4","E,0129","","","","","2897.9","","2897.9","E","","","10.17","E","13.26","E","7.09","E"
"EZE00100082","1791","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","251.2","","251.2","E","","","","","0","E","45","E","6","E","97","E","3","E","-6.6","E,1107,","","","33.0","E,0802,+","-0.4","E,1029","-5.5","E,1106","-5.5","E,1106","","","","","-2.8","E,0212","-2.8","E,0212","-4.4","E,0206","","","","","2954.5","","2954.5","E","","","11.04","E","14.05","E","8.02","E"
"EZE00100082","1792","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","223.4","","223.4","E","","","","","0","E","74","E","26","E","96","E","2","E","-17.6","E,0114,","","","33.3","E,0719,","-0.1","E,1113","-2.5","E,1121","-4.7","E,1124","-7.6","E,1231","","","-0.6","E,0314","-2.2","E,0313","-7.8","E,0303","-7.8","E,0303","-9.2","E,0302","3163.0","","3163.0","E","","","10.34","E","13.63","E","7.05","E"
"EZE00100082","1793","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","235.8","","235.8","E","","","","","2","E","43","E","17","E","82","E","4","E","-21.6","E,0111,","","","37.0","E,0718,","-0.3","E,1103","-3.4","E,1203","-5.0","E,1204","-7.6","E,1206","","","-0.2","E,0408","-6.5","E,0329","-6.5","E,0329","-6.8","E,0328","-14.4","E,0119","3262.8","","3262.8","E","","","10.58","E","13.60","E","7.55","E"
"EZE00100082","1794","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","241.2","","241.2","E","","","","","0","E","37","E","11","E","92","E","2","E","-9.9","E,1231,","","","32.5","E,0723,","-1.2","E,1118","-3.8","E,1121","-6.4","E,1218","-7.6","E,1220","-9.1","E,1224","-0.6","E,0310","-2.3","E,0208","-5.2","E,0123","","","","","2481.8","","2481.8","E","","","11.53","E","14.56","E","8.49","E"
"EZE00100082","1795","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","165.1","","165.1","E","","","","","4","E","72","E","30","E","92","E","0","E","-22.6","E,0104,","","","31.1","E,0611,","-1.4","E,1116","-2.8","E,1117","","","","","","","-0.1","E,0316","-5.2","E,0315","-5.2","E,0315","-7.5","E,0220","-15.3","E,0127","3374.9","","3374.9","E","","","10.01","E","13.29","E","6.74","E"
"EZE00100082","1796","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","168.0","","168.0","E","","","","","0","E","69","E","17","E","98","E","0","E","-15.7","E,0306,","","","31.0","E,0731,","-0.7","E,1112","-2.4","E,1130","-6.5","E,1203","-8.6","E,1204","-10.6","E,1217","-0.1","E,0406","-3.8","E,0329","-5.4","E,0315","-8.4","E,0308","-12.3","E,0307","2969.4","","2969.4","E","","","10.15","E","13.38","E","6.91","E"
"EZE00100082","1797","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","263.1","","263.1","E","","","","","0","E","60","E","10","E","108","E","0","E","-6.4","E,0321,+","","","31.9","E,0812,","-3.6","E,1120","-3.6","E,1120","-4.7","E,1121","","","","","-2.1","E,0322","-6.4","E,0321","-6.4","E,0321","","","","","2998.8","","2998.8","E","","","11.08","E","14.38","E","7.78","E"
"EZE00100082","1798","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","372.9","","372.9","E","","","","","4","E","79","E","28","E","117","E","0","E","-22.1","E,1227,","","","31.5","E,0814,+","-0.4","E,1029","-3.9","E,1119","-8.7","E,1121","-8.7","E,1121","-13.4","E,1122","-1.5","E,0412","-4.7","E,0314","-4.7","E,0314","-7.6","E,0222","","","2921.8","","2921.8","E","","","10.67","E","13.98","E","7.36","E"
"EZE00100082","1799","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","138.3","","138.3","E","","","","","16","E","103","E","61","E","66","E","0","E","-24.8","E,0113,","","","31.8","E,0807,","-0.4","E,1123","-2.2","E,1124","-4.9","E,1218","-10.7","E,1219","-10.7","E,1219","-0.2","E,0407","-3.8","E,0405","-6.1","E,0331","-10.8","E,0215","-10.8","E,0215","3908.3","","3908.3","E","","","7.71","E","10.97","E","4.45","E"
"EZE00100082","1800","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","186.4","","186.4","E","","","","","0","E","86","E","38","E","93","E","1","E","-13.5","E,0101,","","","32.3","E,0818,","-1.1","E,1025","-3.5","E,1218","-5.6","E,1219","-8.3","E,1221","","","-2.3","E,0328","-2.3","E,0328","-7.8","E,0323","-7.8","E,0323","-11.0","E,0313","3495.1","","3495.1","E","","","9.95","E","12.90","E","6.99","E"
"EZE00100082","1801","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","179.8","","179.8","E","","","","","0","E","56","E","14","E","100","E","1","E","-13.2","E,0211,","","","33.7","E,0708,","-0.4","E,1205","-3.0","E,1218","-4.7","E,1220","-10.6","E,1221","-10.6","E,1221","-2.5","E,0311","-2.5","E,0311","-6.5","E,0220","-9.9","E,0212","-9.9","E,0212","3021.7","","3021.7","E","","","10.93","E","13.98","E","7.89","E"
"EZE00100082","1802","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","224.5","","224.5","E","","","","","0","E","67","E","22","E","90","E","7","E","-17.5","E,0116,","","","34.7","E,0810,","-0.7","E,1208","-3.5","E,1221","","","","","","","-0.5","E,0416","-3.6","E,0317","-7.1","E,0220","-7.1","E,0220","-17.2","E,0117","3137.3","","3137.3","E","","","10.18","E","13.60","E","6.76","E"
"EZE00100082","1803","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","162.7","","162.7","E","","","","","0","E","85","E","46","E","78","E","0","E","-16.1","E,0208,","","","31.9","E,0803,","-2.6","E,1102","-2.6","E,1102","-5.2","E,1201","-9.0","E,1219","-9.0","E,1219","-0.6","E,0325","-6.8","E,0314","-6.8","E,0314","-6.8","E,0314","-11.5","E,0212","3223.0","","3223.0","E","","","9.28","E","12.42","E","6.13","E"
"EZE00100082","1804","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","217.6","","217.6","E","","","","","1","E","95","E","40","E","96","E","0","E","-18.4","E,1231,","","","31.5","E,0805,","-0.2","E,1103","-5.2","E,1105","-5.2","E,1105","-8.1","E,1204","-10.9","E,1205","-0.6","E,0326","-7.6","E,0323","-7.6","E,0323","-7.6","E,0323","-9.4","E,0111","3267.2","","3267.2","E","","","9.65","E","12.77","E","6.54","E"
"EZE00100082","1805","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","82.9","","82.9","E","136","E","51","E","2","E","113","E","38","E","70","E","0","E","-20.8","E,0202,","21.5",",E,0419,","29.1","E,0729,","-1.0","E,1023","-2.2","E,1101","-4.5","E,1114","-6.7","E,1214","-9.0","E,1217","-0.7","E,0410","-4.3","E,0403","-4.5","E,0402","-9.1","E,0219","-9.1","E,0219","3815.3","","3815.3","E","431.7",",E","7.97","E","11.13","E","4.80","E"
"EZE00100082","1806","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","165.2","","165.2","E","","","","","0","E","36","E","2","E","94","E","0","E","-7.1","E,0306,","","","29.0","E,0611,","-0.1","E,1112","","","","","","","","","0.0","E,0403","-2.2","E,0311","-7.1","E,0306","-7.1","E,0306","","","3245.9","","3245.9","E","","","10.97","E","14.14","E","7.79","E"
"EZE00100082","1807","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","360.5","","360.5","E","121","E","51","E","0","E","78","E","10","E","106","E","9","E","-6.8","E,0203,","39.8",",E,0618,","34.2","E,0824,","-0.4","E,1101","-2.5","E,1209","-5.2","E,1210","","","","","0.0","E,0424","-2.5","E,0326","-5.8","E,0317","-6.8","E,0203","","","3016.1","","3016.1","E","534.1",",E","10.71","E","14.01","E","7.41","E"
"EZE00100082","1808","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","261.9","","261.9","E","122","E","42","E","4","E","118","E","40","E","114","E","3","E","-19.6","E,1215,","45.1",",E,0627,","34.1","E,0807,","-0.3","E,1106","-2.5","E,1113","-4.4","E,1130","-8.7","E,1210","-11.0","E,1211","-0.1","E,0410","-3.7","E,0404","-6.4","E,0403","-7.5","E,0328","-9.1","E,0311","3340.1","","3340.1","E","439.6",",E","9.04","E","12.42","E","5.67","E"
"EZE00100082","1809","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","225.1","","225.1","E","133","E","39","E","1","E","69","E","19","E","101","E","0","E","-19.4","E,0106,","32.7",",E,0428,","31.2","E,0602,","-1.7","E,1119","-3.8","E,1120","","","","","","","-0.2","E,0413","-3.1","E,0409","-4.6","E,0406","-8.7","E,0225","-9.9","E,0121","3539.9","","3539.9","E","402.9",",E","9.82","E","13.04","E","6.60","E"
"EZE00100082","1810","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","183.6","","183.6","E","126","E","58","E","0","E","80","E","36","E","99","E","0","E","-17.6","E,0115,","29.0",",E,0711,","30.1","E,0904,+","-1.6","E,1016","-2.6","E,1114","-4.4","E,1115","-7.8","E,1231","","","-0.2","E,0416","-2.6","E,0328","-9.0","E,0224","-9.0","E,0224","-9.0","E,0224","3479.0","","3479.0","E","461.9",",E","9.51","E","12.99","E","6.03","E"
"EZE00100082","1811","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","400.8","","400.8","E","115","E","45","E","2","E","74","E","33","E","117","E","3","E","-21.4","E,0108,","29.7",",E,0805,","33.3","E,0720,","-2.1","E,1122","-3.4","E,1123","-6.5","E,1231","","","","","-0.2","E,0328","-3.1","E,0224","-5.3","E,0223","-7.1","E,0222","-12.0","E,0219","3123.5","","3123.5","E","486.9",",E","11.06","E","14.43","E","7.69","E"
"EZE00100082","1812","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","117.8","","117.8","E","160","E","69","E","1","E","113","E","57","E","80","E","0","E","-18.4","E,1219,","30.3",",E,1119,","29.8","E,0826,","-0.9","E,1111","-5.5","E,1122","-5.5","E,1122","-7.7","E,1124","-12.3","E,1212","-0.2","E,0420","-4.0","E,0411","-4.7","E,0409","-9.5","E,0204","-9.5","E,0204","3283.8","","3283.8","E","606.4",",E","8.46","E","11.66","E","5.26","E"
"EZE00100082","1813","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","81.9","","81.9","E","134","E","51","E","0","E","74","E","36","E","71","E","0","E","-13.5","E,0125,","19.4",",E,0827,","27.8","E,0813,+","-1.3","E,1120","-2.7","E,1121","-4.6","E,1215","-6.7","E,1216","","","-0.8","E,0318","-3.8","E,0317","-4.7","E,0315","-7.7","E,0312","-8.9","E,0126","3454.6","","3454.6","E","456.9",",E","9.39","E","12.47","E","6.32","E"
"EZE00100082","1814","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","98.2","","98.2","E","117","E","54","E","2","E","85","E","45","E","65","E","0","E","-18.1","E,0112,","36.6",",E,0627,","29.5","E,0711,","-0.1","E,1119","-5.1","E,1223","-5.1","E,1223","-8.0","E,1224","","","-2.2","E,0322","-2.2","E,0322","-6.1","E,0318","-9.1","E,0306","-9.1","E,0306","3802.5","","3802.5","E","498.4",",E","8.23","E","11.38","E","5.08","E"
"EZE00100082","1815","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","64.3","","64.3","E","154","E","50","E","0","E","75","E","32","E","68","E","0","E","-14.4","E,0124,","53.1",",E,0613,","29.4","E,0719,","-0.4","E,1120","-3.3","E,1126","-4.7","E,1127","-8.0","E,1130","-11.7","E,1207","-0.5","E,0418","-2.3","E,0320","-5.4","E,0128","-14.4","E,0124","-14.4","E,0124","3185.5","","3185.5","E","569.1",",E","9.37","E","12.49","E","6.25","E"
"EZE00100082","1816","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","53.3","","53.3","E","173","E","58","E","0","E","75","E","26","E","58","E","0","E","-14.0","E,0212,","23.9",",E,0619,","27.2","E,0814,","-0.6","E,1026","-2.4","E,1118","-4.6","E,1119","-8.1","E,1122","","","0.0","E,0417","-2.8","E,0329","-5.1","E,0301","-7.3","E,0218","-14.0","E,0212","3524.3","","3524.3","E","496.6",",E","8.84","E","11.76","E","5.92","E"
"EZE00100082","1817","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","113.8","","113.8","E","166","E","59","E","0","E","38","E","9","E","81","E","0","E","-8.1","E,1230,+","31.3",",E,0623,","28.7","E,0614,","0.0","E,1107","-4.0","E,1225","-5.2","E,1226","-8.1","E,1229","","","-0.3","E,0428","-2.8","E,0212","-6.9","E,0113","-6.9","E,0113","","","3402.0","","3402.0","E","547.9",",E","9.75","E","12.68","E","6.82","E"
"EZE00100082","1818","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","113.6","","113.6","E","135","E","42","E","0","E","68","E","21","E","73","E","0","E","-10.9","E,1227,","29.0",",E,0514,","29.9","E,0726,","-0.3","E,1110","-2.9","E,1111","-4.6","E,1112","-8.1","E,1215","-9.2","E,1226","-2.0","E,0404","-4.7","E,0220","-4.7","E,0220","-6.8","E,0101","","","3117.6","","3117.6","E","438.4",",E","9.96","E","12.90","E","7.02","E"
"EZE00100082","1819","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","172.2","","172.2","E","159","E","52","E","0","E","55","E","18","E","100","E","2","E","-9.7","E,1208,","24.7",",E,0821,+","33.5","E,0708,","-1.3","E,1126","-2.8","E,1127","-6.5","E,1130","-9.5","E,1207","-9.5","E,1207","-0.4","E,0309","-3.4","E,0204","-5.6","E,0109","","","","","3146.5","","3146.5","E","521.8",",E","10.22","E","13.15","E","7.29","E"
"EZE00100082","1820","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","151.8","","151.8","E","148","E","45","E","2","E","83","E","37","E","71","E","0","E","-24.0","E,0116,","38.3",",E,0521,","30.4","E,0819,","-0.7","E,1113","-3.0","E,1216","-5.0","E,1220","-7.7","E,1223","-9.4","E,1224","-2.4","E,0320","-2.4","E,0320","-4.5","E,0228","-13.9","E,0118","-13.9","E,0118","3478.3","","3478.3","E","399.5",",E","9.02","E","12.02","E","6.01","E"
"EZE00100082","1821","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","49.5","","49.5","E","161","E","55","E","0","E","66","E","20","E","60","E","0","E","-13.0","E,0306,","27.7",",E,0807,","26.4","E,0721,","-1.4","E,1109","-3.0","E,1111","","","","","","","-1.1","E,0326","-11.1","E,0307","-11.1","E,0307","-11.1","E,0307","-11.1","E,0307","3429.8","","3429.8","E","498.4",",E","9.73","E","12.69","E","6.78","E"
"EZE00100082","1822","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","155.9","","155.9","E","122","E","49","E","0","E","49","E","19","E","106","E","0","E","-15.8","E,1231,","35.6",",E,0927,","30.6","E,0725,","-1.0","E,1111","-3.0","E,1112","-5.2","E,1113","-6.8","E,1215","-8.9","E,1219","-0.3","E,0312","-2.3","E,0216","-5.0","E,0214","","","","","2742.9","","2742.9","E","403.2",",E","10.77","E","14.17","E","7.38","E"
"EZE00100082","1823","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","151.7","","151.7","E","148","E","46","E","5","E","67","E","35","E","82","E","0","E","-23.1","E,0123,","19.1",",E,0714,","30.4","E,0714,","-1.0","E,1110","-5.9","E,1217","-5.9","E,1217","-8.9","E,1218","-8.9","E,1218","-0.4","E,0414","-2.3","E,0215","-5.0","E,0129","-8.1","E,0128","-12.0","E,0127","3441.8","","3441.8","E","443.8",",E","9.55","E","12.52","E","6.58","E"
"EZE00100082","1824","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","121.1","","121.1","E","171","E","49","E","0","E","41","E","11","E","89","E","0","E","-8.2","E,0107,","38.0",",E,0622,","29.7","E,0812,","0.0","E,1217","","","","","","","","","-0.2","E,0402","-3.7","E,0305","-4.5","E,0204","-7.7","E,0117","","","3172.9","","3172.9","E","514.9",",E","10.41","E","13.44","E","7.39","E"
"EZE00100082","1825","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","143.1","","143.1","E","156","E","32","E","0","E","51","E","13","E","90","E","0","E","-9.0","E,0228,","30.0",",E,0528,","30.5","E,0805,","-0.1","E,1119","","","","","","","","","-0.4","E,0324","-3.9","E,0322","-6.7","E,0320","-6.7","E,0320","-9.0","E,0228","2977.1","","2977.1","E","353.3",",E","10.31","E","13.52","E","7.11","E"
"EZE00100082","1826","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","309.1","","309.1","E","110","E","43","E","1","E","71","E","38","E","99","E","1","E","-17.8","E,0122,","17.8",",E,0703,","32.2","E,0804,","-1.9","E,1111","","","","","","","","","-1.5","E,0317","-2.3","E,0218","-9.2","E,0216","-9.2","E,0216","-9.2","E,0216","3307.2","","3307.2","E","310.0",",E","9.75","E","12.80","E","6.70","E"
"EZE00100082","1827","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","241.8","","241.8","E","117","E","60","E","5","E","78","E","47","E","106","E","1","E","-22.1","E,0218,","26.6",",E,0827,+","33.6","E,0703,","-0.1","E,1113","-2.7","E,1122","-5.2","E,1128","-8.8","E,1129","-10.5","E,1130","-1.8","E,0317","-13.5","E,0227","-13.5","E,0227","-13.5","E,0227","-13.5","E,0227","3238.9","","3238.9","E","510.8",",E","9.68","E","13.37","E","5.98","E"
"EZE00100082","1828","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","150.8","","150.8","E","146","E","68","E","0","E","57","E","27","E","88","E","2","E","-15.7","E,0118,+","33.8",",E,0720,","33.6","E,0709,","-1.9","E,1104","-3.0","E,1105","-6.5","E,1202","-8.9","E,1203","-8.9","E,1203","-4.9","E,0405","-4.9","E,0405","-4.9","E,0405","-7.8","E,0308","-10.9","E,0212","3260.9","","3260.9","E","665.4",",E","9.94","E","13.25","E","6.62","E"
"EZE00100082","1829","50.0906","14.4192","191.0","PRAHA KLEMENTINUM, EZ","130.3","","130.3","E","127","E","59","E","8","E","134","E","73","E","66","E","1","E","-24.3","E,0213,","69.8",",E,0610,","32.5","E,0716,","0.0","E,1021","-3.6","E,1114","-4.5","E,1115","-6.9","E,1120","-11.1","E,1202","-0.4","E,0328","-3.5","E,0325","-4.6","E,0316","-7.0","E,0306","-9.6","E,0221","3638.1","","3638.1","E","622.4",",E","7.33","E","10.77","E","3.88","E"
